Nummer,BetrieblicheBezeichnung,Gueltigkeit_BeginnGueltigkeit,E,N,H
ch:1:sloid:95371:0:02,2,20221211,47.18304447494729,9.458995289551803,0
ch:1:sloid:77278:0:01,772781,20231108,47.085190010155564,8.29024000822245,0
ch:1:sloid:70906:0:582749,2,20230427,46.096525569959304,7.505884815013365,0
ch:1:sloid:7172:1:5,11,20031214,46.745483486278786,7.6445193393417235,0
ch:1:sloid:7151:0:1,Hilterfingen,20240308,46.73505487250617,7.657464068280894,0
ch:1:sloid:7765:0:528766,1,20230426,46.809518080445585,7.476812907481989,0
ch:1:sloid:30308:0:972980,1,20210211,46.49036604149603,7.5566411802510425,0
ch:1:sloid:30215:0:456594,2,20210211,46.02095142756635,7.79813134332016,0
ch:1:sloid:81489:0:01,1,20221211,47.48855857789092,9.551123346103825,0
ch:1:sloid:81763:0:1,1,20190101,47.12976620978021,7.595426403115631,0
ch:1:sloid:90354:0:02,1,20230315,47.392978945542744,9.251528763925142,0
ch:1:sloid:7212:0:236141,1,20231005,46.62343359521136,6.251564714511541,0
ch:1:sloid:77722:0:16342,2,20220101,46.519140703516584,6.9507066084954765,0
ch:1:sloid:77717:0:16119,2,20220101,46.5202511178565,6.832223866103006,0
ch:1:sloid:70702:0:417868,1,20230427,46.22371816212863,7.272801968695401,0
ch:1:sloid:70697:0:497712,2,20230427,46.22487494526801,7.319522211776116,0
ch:1:sloid:2635:0:1,1,20211212,46.46535601026956,6.8430070068695015,0
ch:1:sloid:71532:0:873761,1,20231130,47.052747137361344,7.694780085195607,0
ch:1:sloid:80345:0:390632,1,20230427,47.350949327105575,8.286496112024677,0
ch:1:sloid:92027:0:1208,2,20230907,46.51467441997411,6.62537122662656,0
ch:1:sloid:3066::0,0,20240223,47.33216740204034,8.623658122245363,0
ch:1:sloid:91330::21,21,20240223,47.41092755941865,8.562680036142208,0
ch:1:sloid:91315::2,2,20240223,47.35107808785401,8.58329771500453,0
ch:1:sloid:92083:0:732,1,20230907,46.51687160434199,6.647296116185371,0
ch:1:sloid:5693:0:836948,1,20230426,46.14967526602881,7.623769063201937,0
ch:1:sloid:89324:1:3,3,20200703,47.56751359557933,7.6119900053568825,0
ch:1:sloid:76682:0:509269,2,20231024,46.95435607381767,7.807024580097227,0
ch:1:sloid:7403:1:2,10,20041212,46.79776856415768,7.6838745302391205,0
ch:1:sloid:77002:0:4,4,20190101,46.95441741145284,7.477118305723133,0
ch:1:sloid:77022:0:2,2,20190101,46.925909609234125,7.499639004946655,0
ch:1:sloid:82128:0:772449,2,20230427,47.416672160863605,7.091246845914387,0
ch:1:sloid:78480:0:02,2,20221211,47.376225834112375,9.546748210324791,0
ch:1:sloid:91603::400136,9,20230817,46.00555121297375,8.95290468225676,0
ch:1:sloid:73457:0:672157,02,20230119,47.69820527350465,8.6275816937779,0
ch:1:sloid:74019:0:612417,2,20230427,47.22279796215916,9.202688913717074,0
ch:1:sloid:91946:0:851524,1,20230907,46.52796268448491,6.560363716097807,0
ch:1:sloid:4310:2:3,3,20230822,47.151648722778745,7.001682557985576,0
ch:1:sloid:70889:0:254945,6,20230427,46.227626001281784,7.371660143421921,0
ch:1:sloid:72397:0:537754,1,20230427,47.50814023011433,8.019385568684116,0
ch:1:sloid:74083:0:618725,2,20230427,47.447687122196015,9.543067554361501,0
ch:1:sloid:72495:0:659380,2,20230427,47.51983471940211,8.24064664386314,0
ch:1:sloid:92190:0:623,1,20230907,46.51376299596231,6.654352108454868,0
ch:1:sloid:93802:0:288,1,20231115,46.52057176297983,6.684683641580286,0
ch:1:sloid:70233:0:581872,2,20230426,46.69680593092318,6.48056179028993,0
ch:1:sloid:83605:0:669690,2,20230427,46.11053993657562,7.067566810684268,0
ch:1:sloid:89979:1:3,3,20200703,47.515779400854676,7.564402500818235,0
ch:1:sloid:92098:0:1164,3,20230907,46.52215296489426,6.627018124495375,0
ch:1:sloid:3699::51,51,20240223,47.37043537995237,8.454470049409373,0
ch:1:sloid:73166::50,50,20240223,47.29127645526124,8.56507900197195,0
ch:1:sloid:75939::51,51,20240223,47.4402303777912,8.677440401341748,0
ch:1:sloid:91355::20,20,20240223,47.41943223216389,8.547326953227104,0
ch:1:sloid:76405:0:02,2,20210401,47.18975979987598,7.292443097894986,0
ch:1:sloid:76913::769132,2,20230210,47.21120388160277,7.698484984710546,0
ch:1:sloid:82781:0:625576,2,20230427,46.494838694024324,6.715770778568315,0
ch:1:sloid:93080:0:983935,born01,20230913,46.207149977990625,6.245120239242379,0
ch:1:sloid:93106:0:611020,ajen01,20231009,46.19030855750647,6.198476044946757,0
ch:1:sloid:92906:0:25202,stnd01,20230913,46.203596004590906,6.1410503137845645,0
ch:1:sloid:92909:0:654855,taco00,20230913,46.200836288478385,6.148199493063366,0
ch:1:sloid:74802:0:797144,1,20230427,46.3844467460329,10.076249822970038,0
ch:1:sloid:75153:0:812878,1,20230427,46.19209759547127,9.018087670799162,0
ch:1:sloid:93969:0:102,102,20220530,46.45071703943752,6.866628767426182,0
ch:1:sloid:81061:0:289047,2,20230427,46.0905713246048,7.957009309985758,0
ch:1:sloid:87652::81,81,20201213,47.40596556503993,8.59066482750697,0
ch:1:sloid:93325:0:01,1,20210401,47.14526411513699,7.245050950851292,0
ch:1:sloid:75694:0:31108,2,20230427,46.490502874048794,8.485350670940523,0
ch:1:sloid:91164::0,0,20240223,47.386269322577384,8.54993494176647,0
ch:1:sloid:91138::1,1,20240223,47.383281125581995,8.499413007026,0
ch:1:sloid:91126::21,21,20240223,47.37572631813473,8.48747723733018,0
ch:1:sloid:5129:0:01,1,20230623,47.07995780918273,8.439537355354615,0
ch:1:sloid:75275:0:95847,1,20230427,45.99696059936571,8.93664644753393,0
ch:1:sloid:8698:0:963769,2,20230426,46.7513049662768,8.07880119519863,0
ch:1:sloid:7150:0:1,Thun,20240308,46.75410683293892,7.631394958776874,0
ch:1:sloid:91169::1,1,20240223,47.38047588851156,8.51965909582337,0
ch:1:sloid:93461:0:2,2,20220301,47.16260286557739,8.51732883765956,0
ch:1:sloid:79980:0:148890,1,20230427,47.488358079869585,9.34399973811143,0
ch:1:sloid:3860::50,50,20240223,47.50078170934834,8.473524887108656,0
ch:1:sloid:91065::52,52,20240223,47.39685054807633,8.594561215445841,0
ch:1:sloid:90889::0,0,20240223,47.416422573382384,8.579308444042008,0
ch:1:sloid:90943::50,50,20240223,47.47783893431272,8.699107203016073,0
ch:1:sloid:72772:0:706119,2,20230427,47.15714228452126,7.907195738970665,0
ch:1:sloid:7529:0:219896,2,20230426,46.66244729211008,7.799270034412865,0
ch:1:sloid:91913:1:3,13,20090513,46.75314668780178,7.62783761742562,0
ch:1:sloid:82112:0:51150,2,20230427,47.126819874736405,8.242367389121915,0
ch:1:sloid:92946:0:640301,mach00,20230913,46.24382705027629,6.129930990558695,0
ch:1:sloid:81553:0:325492,2,20230427,46.83692595617876,9.549593143611238,0
ch:1:sloid:87250:0:1,1,20220301,47.2677763275959,8.263715269387891,0
ch:1:sloid:82861:0:945502,1,20230427,46.86129678033576,9.89628180091052,0
ch:1:sloid:88529::885291,1,20230809,47.086437113833085,7.571008108110104,0
ch:1:sloid:72698::1,01,20221211,47.26177761030885,7.835402407669245,0
ch:1:sloid:92251:0:40039,2,20230907,46.52198961484012,6.512731895185004,0
ch:1:sloid:1467:0:183913,1,20210211,46.347544508014295,7.017424157326553,0
ch:1:sloid:92077:0:888,4,20230907,46.51147568062433,6.637289792210621,0
ch:1:sloid:30006::3,3,20220811,46.99354797739641,6.927241539343585,0
ch:1:sloid:31161:0:945273,1,20210211,46.3479337493166,7.246907602189933,0
ch:1:sloid:95405::52,52,20240223,47.229443192634115,8.623202888477458,0
ch:1:sloid:95439::50,50,20240223,47.4836119929567,8.694307800485053,0
ch:1:sloid:95262::50,50,20240223,47.347079030705665,8.819001345768923,0
ch:1:sloid:95609::50,50,20240223,47.50021520410414,8.72558761883271,0
ch:1:sloid:95707::51,51,20240223,47.44603875005515,8.649650109480023,0
ch:1:sloid:88748::9,9,20230109,47.01887201010572,8.31129390828359,0
ch:1:sloid:71189:0:7455,2,20230427,46.308501077511714,8.009815007689836,0
ch:1:sloid:76364:0:704300,1,20230427,46.60043272154843,7.656888767018308,0
ch:1:sloid:76358:0:892059,2,20230427,46.66306312193755,7.6903287720705045,0
ch:1:sloid:81768:0:173941,2,20231122,46.7856855837708,9.405530700526832,0
ch:1:sloid:7162:0:1,L�ngenschachen,20240308,46.72543091979581,7.679436860238679,0
ch:1:sloid:71843:0:814454,1,20230427,46.99223349687269,6.79873345964998,0
ch:1:sloid:75318:0:92770,1,20230427,46.03837074357547,8.93353173134302,0
ch:1:sloid:10998:0:971905,2,20231006,46.51859590897066,6.428200944627806,0
ch:1:sloid:90443::80,80,20201213,47.30647781911566,8.820027474620451,0
ch:1:sloid:75938::50,50,20240223,47.43372900214833,8.673033637930786,0
ch:1:sloid:76211::50,50,20240223,47.32171488997971,8.589877468482952,0
ch:1:sloid:79942::50,50,20240223,47.57558732865687,8.527765131723863,0
ch:1:sloid:95703:1:2,2,20230215,47.51822718691836,7.681610782961776,0
ch:1:sloid:95459::50,50,20240223,47.42977007328601,8.961983230307709,0
ch:1:sloid:95459::51,51,20240223,47.4294638078285,8.962014235781464,0
ch:1:sloid:95511::51,51,20240223,47.408016033298,8.407354378807739,0
ch:1:sloid:95908:1:1,1,20230215,47.53011681230905,7.692821757758875,0
ch:1:sloid:4262:0:490047,2,20230426,46.71615444110678,7.032770616483208,0
ch:1:sloid:87703:0:889216,1,20230427,46.33650393773632,8.015395114957927,0
ch:1:sloid:87716:0:1,1,20220301,47.169436459391996,8.293962181420643,0
ch:1:sloid:87722:0:1,1,20220301,47.133656369869534,8.422889298622112,0
ch:1:sloid:7610:0:150118,2,20230607,46.41269525282805,7.4419712795560296,0
ch:1:sloid:79729:0:675654,1,20231219,46.80812001047225,6.5890700064845,0
ch:1:sloid:73609:0:664241,2,20230427,47.53426832353928,9.121508355602653,0
ch:1:sloid:92277:0:684594,1,20230907,46.511284855000255,6.499880309687735,0
ch:1:sloid:92087:0:1311,2,20230907,46.53632748133215,6.615320405280184,0
ch:1:sloid:8999::89991,1,20230210,47.170527651345225,7.678595192588681,0
ch:1:sloid:77998:0:02,2,20230706,47.386839145110955,7.967737643107291,0
ch:1:sloid:73940:0:558096,2,20230427,47.423012955331664,9.129019836051866,0
ch:1:sloid:73916:0:764291,1,20230427,47.46987765406172,9.106442397352833,0
ch:1:sloid:73933:0:38997,1,20230427,47.45118012276472,9.164331620934421,0
ch:1:sloid:95614:0:121836,6,20231118,47.65376366252054,9.141633355325952,0
ch:1:sloid:94221::422001,1,20230817,46.005748881778395,8.9381396982744,0
ch:1:sloid:95500:0:443262,1,20210211,47.02084013033086,8.703064603239559,0
ch:1:sloid:94089:0:02,2,20210401,47.12384200986923,7.241926434888489,0
ch:1:sloid:90158::2,2,20230801,47.37878539687089,8.048817759520576,0
ch:1:sloid:90160::1,1,20230801,47.3854516829429,8.043424399107986,0
ch:1:sloid:74929:0:480762,1,20230427,46.74479886226162,8.999867343398911,0
ch:1:sloid:3889:0:16451,1,20220101,46.80268229406464,7.150803152584866,0
ch:1:sloid:3000:503:44,S44,20240219,47.379001010195836,8.539148008403311,0
ch:1:sloid:87071:0:167619,pllt01,20230913,46.247939713284346,6.216285474172006,0
ch:1:sloid:89968:0:03,3,20230503,47.09370165703395,7.156284987501497,0
ch:1:sloid:3168::51,51,20240223,47.32592450716568,8.710692571255827,0
ch:1:sloid:73205::60,60,20240223,47.449441974103664,8.56383819747903,0
ch:1:sloid:73263::51,51,20240223,47.4902306876163,8.503311062529146,0
ch:1:sloid:73267::50,50,20240223,47.5256676001074,8.452417196014705,0
ch:1:sloid:73572::51,51,20240223,47.230369265919556,8.640616160308952,0
ch:1:sloid:76286::51,51,20240223,47.48151081048853,8.450607087073275,0
ch:1:sloid:95708:0:50,50,20231018,47.420825098768304,8.363000892943974,0
ch:1:sloid:90189:0:02,2,20200507,47.47424403966295,8.305320959324101,0
ch:1:sloid:364:0:150199,1,20210211,46.17556459187902,7.380659925494753,0
ch:1:sloid:82458:0:255761,2,20230427,46.95520245418138,8.27772989016114,0
ch:1:sloid:73686::82,82,20220719,47.55725262064173,8.613797883685226,0
ch:1:sloid:77489:0:02,2,20230210,47.00608001003289,8.675920008631872,0
ch:1:sloid:82443:0:249904,1,20230427,47.186282933394196,8.030909046831873,0
ch:1:sloid:90119:0:2,2,20190722,46.93424639407342,7.4152512937439985,0
ch:1:sloid:92127:0:612,3,20230907,46.53531555589075,6.655368962103037,0
ch:1:sloid:93168:0:44406,prgr00,20230913,46.210721718476776,6.076233589013793,0
ch:1:sloid:93815:0:1770,1,20230907,46.54096963696314,6.574208259768509,0
ch:1:sloid:72092:0:593361,1,20230427,47.41335725437899,7.198556313200952,0
ch:1:sloid:72097:0:474395,1,20230427,47.427441551099115,7.173694657062901,0
ch:1:sloid:3479:0:425177,01,20230118,47.692878490897506,8.624329792441053,0
ch:1:sloid:93624::1,1,20230511,47.0866380105282,6.80179700665895,0
ch:1:sloid:3480:0:569127,02,20230131,47.68280388226797,8.61833802947089,0
ch:1:sloid:89773::2,2,20210201,47.05384271015879,8.299364208212149,0
ch:1:sloid:72958:0:674498,1,20231115,46.975589468982584,8.585751065258583,0
